Title,Description,Runtime,Genre,Year
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",111,"Action, Crime, Thriller            ",2003
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,"Animation, Adventure, Comedy            ",2003
Catch Me If You Can,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",141,"Biography, Crime, Drama            ",2002
Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",154,"Drama, Thriller            ",2000
Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,224,"Adventure, Drama, Musical            ",2001
The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,107,"Drama, Mystery, Thriller            ",1999
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,103,"Comedy, Drama, Sci-Fi            ",1998
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",117,"Comedy, Crime            ",1998
Faa yeung nin wa,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",98,"Drama, Romance            ",2000
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",93,Drama            ,1996
Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,98,"Crime, Drama, Thriller            ",1996
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,98,"Crime, Drama            ",1995
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",101,"Drama, Romance            ",1995
Jurassic Park,A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,127,"Action, Adventure, Sci-Fi            ",1993
In the Name of the Father,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,133,"Biography, Drama            ",1993
Dead Poets Society,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,128,"Comedy, Drama            ",1989
Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,124,"Animation, Drama, Sci-Fi            ",1988
The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",98,"Adventure, Family, Fantasy            ",1987
Stand by Me,"After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.",89,"Adventure, Drama            ",1986
Platoon,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,120,"Drama, War            ",1986
"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",145,Drama            ,1984
Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,117,"Animation, Adventure, Fantasy            ",1984
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,109,"Horror, Mystery, Sci-Fi            ",1982
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",117,"Action, Sci-Fi, Thriller            ",1982
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",124,"Biography, Drama            ",1980
Life of Brian,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.",94,Comedy            ,1979
The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,183,"Drama, War            ",1978
Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,120,"Drama, Sport            ",1976
Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,121,Drama            ,1976
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,185,"Adventure, Drama, History            ",1975
Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",127,"Crime, Drama            ",1967
Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,85,"Drama, Thriller            ",1966
La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",121,"Drama, War            ",1966
Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.",99,"Crime, Drama            ",1959
Ben-Hur,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",212,"Adventure, Drama, History            ",1959
The Bridge on the River Kwai,"After settling his differences with a Japanese P.O.W. camp commander, a British Colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.",161,"Adventure, Drama, War            ",1957
On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,108,"Crime, Drama, Thriller            ",1954
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",131,"Adventure, Drama, Thriller            ",1953
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",104,"Film-Noir, Mystery, Thriller            ",1949
Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,130,"Drama, Mystery, Romance            ",1940
Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",129,"Comedy, Drama            ",1939
Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,238,"Drama, History, Romance            ",1939
It Happened One Night,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,105,"Comedy, Romance            ",1934
The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",67,"Action, Adventure, Comedy            ",1926
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,121,"Action, Adventure, Comedy            ",2014
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",80,"Drama, Romance            ",2004
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",92,"Animation, Adventure, Comedy            ",2001
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,90,"Animation, Adventure, Comedy            ",1992
The Terminator,"A seemingly indestructible robot is sent from 2029 to 1984 to assassinate a young waitress, whose unborn son will lead humanity in a war against sentient machines, while a human soldier from the same war is sent to protect her at all costs.",107,"Action, Sci-Fi            ",1984
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",110,"Biography, Crime, Drama            ",1969
